key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by	key-link	word-parsed	word-parsed-no-ref	word-title	word-parsed-prettify	dawoud-pages	crum-last-page	quality-parsed	type-parsed	gr-parsed	en-parsed	en-parsed-no-greek	crum-link	dialect-S	dialect-Sa	dialect-Sf	dialect-A	dialect-sA	dialect-B	dialect-F	dialect-Fb	dialect-O	dialect-NH	key-next	key-prev	crum-pages	derivations-table	derivations-list
3129	(B) tferio	2	{tr:} (meaning uncertain)	{tr:} (meaning uncertain)		449b	6	0	2010-02-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3129.html	(B) ⲧⲫⲉⲣⲓⲟ	(B) ⲧⲫⲉⲣⲓⲟ	ⲧⲫⲉⲣⲓⲟ	(B) ⲧⲫⲉⲣⲓⲟ			complete	verb		<b>tr:</b> <i>meaning uncertain</i>	<b>tr:</b> <i>meaning uncertain</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=449b						ⲧⲫⲉⲣⲓⲟ					3130	3128	449		
3130	(S) taS,teS	3	(meaning unknown, grain, herb ?)	(meaning unknown, grain, herb ?)		449b	6	0	2010-02-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3130.html	(S) ⲧⲁϣ, ⲧⲉϣ	(S) ⲧⲁϣ, ⲧⲉϣ	ⲧⲁϣ, ⲧⲉϣ	(S) ⲧⲁϣ, ⲧⲉϣ (noun)			complete	noun		<i>meaning unknown, grain, herb ?</i>	<i>meaning unknown, grain, herb ?</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=449b	ⲧⲁϣ, ⲧⲉϣ (noun)										3131	3129	449		
3131	(S) taSr,taSer	1	(meaning unknown)	(meaning unknown)		453a	6	0	2010-02-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3131.html	(S) ⲧⲁϣⲣ, ⲧⲁϣⲉⲣ	(S) ⲧⲁϣⲣ, ⲧⲁϣⲉⲣ	ⲧⲁϣⲣ, ⲧⲁϣⲉⲣ	(S) ⲧⲁϣⲣ, ⲧⲁϣⲉⲣ (ⲡ)			complete	noun male		<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=453a	ⲧⲁϣⲣ, ⲧⲁϣⲉⲣ (ⲡ)										3132	3130	453		
3132	(sA) taFe+	2	(meaning unknown)	(meaning unknown)		453a	6	0	2010-02-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3132.html	(sA) ⲧⲁϥⲉ+	(sA) ⲧⲁϥⲉ+	ⲧⲁϥⲉ+	(sA) ⲧⲁϥⲉ+			complete	verb		<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=453a					ⲧⲁϥⲉ+						3133	3131	453		
3133	(S) taH	3	(meaning unknown)	(meaning unknown)		453b	6	0	2010-02-27	1900-01-01	vagrant		https://pishoyg.github.io/crum/3133.html	(S) ⲧⲁϩ	(S) ⲧⲁϩ	ⲧⲁϩ	(S) ⲧⲁϩ (noun)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=453b	ⲧⲁϩ (noun)										3134	3132	453		
3134	(Sa) qHbe-	2	{tr:} (for ? [qbbie-])	{tr:} (for ? [qbbie-])		457b	6	0	2010-02-28	1900-01-01	vagrant		https://pishoyg.github.io/crum/3134.html	(Sa) ⲑϩⲃⲉ-	(Sa) ⲑϩⲃⲉ-	ⲑϩⲃⲉ-	(Sa) ⲑϩⲃⲉ-			complete	verb		<b>tr:</b> <i>for ? ⲑⲃⲃⲓⲉ-</i>	<b>tr:</b> <i>for ? ⲑⲃⲃⲓⲉ-</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=457b		ⲑϩⲃⲉ-									3135	3133	457		
3135	(S) qem+	2	(meaning unknown)	(meaning unknown)		458b	6	0	2010-02-28	1900-01-01	vagrant		https://pishoyg.github.io/crum/3135.html	(S) ⲑⲉⲙ+	(S) ⲑⲉⲙ+	ⲑⲉⲙ+	(S) ⲑⲉⲙ+			complete	verb		<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=458b	ⲑⲉⲙ+										3136	3134	458		
3136	"(S) qmso (B) tHemso (S,A) qmse- (sA) tHmse- (B) tHemse- (S) qmso=,qmsoo= *^<a href=ext Life of Bishop Pisentius;1053;17;34;n tere peklhros de m mainoute Sine nswF e tre FqmsooF eJm peqronos;Life of Bishop Pisentius;1053;18;7;auqmsooF eJm ppet ouaab auqmsooF eJm peqronos ntepiskoph"">Ext</a>^* (A) qmsa= (B) tHemso= (F) tHemsa= (S) qmsoeit+ (B) tHemshout+"""	2	{tr:} make to sit, seat (/*causative of [Hmoos]*/) /$gk: [[kaqizein, kaqistanai]]$/	{tr:} make to sit, seat (/*causative of [Hmoos]*/) /$gk: [[kaqizein, kaqistanai]]$/	kaqizein, kaqistanai	460a	8	0	2010-02-28	2012-10-19	vagrant	vagrant	https://pishoyg.github.io/crum/3136.html	"(S) ⲑⲙⲥⲟ
(B) ⲧϩⲉⲙⲥⲟ
(S, A) ⲑⲙⲥⲉ-
(sA) ⲧϩⲙⲥⲉ-
(B) ⲧϩⲉⲙⲥⲉ-
(S) ⲑⲙⲥⲟ=, ⲑⲙⲥⲟⲟ= {ext Life of Bishop Pisentius; 1053; 17; 34; ⲛ ⲧⲉⲣⲉ ⲡⲉⲕⲗⲏⲣⲟⲥ ⲇⲉ ⲙ ⲙⲁⲓⲛⲟⲩⲧⲉ ϣⲓⲛⲉ ⲛⲥⲱϥ ⲉ ⲧⲣⲉ ϥⲑⲙⲥⲟⲟϥ ⲉϫⲙ ⲡⲉⲑⲣⲟⲛⲟⲥ; Ext}, {Life of Bishop Pisentius; 1053; 18; 7; ⲁⲩⲑⲙⲥⲟⲟϥ ⲉϫⲙ ⲡⲡⲉⲧ ⲟⲩⲁⲁⲃ ⲁⲩⲑⲙⲥⲟⲟϥ ⲉϫⲙ ⲡⲉⲑⲣⲟⲛⲟⲥ ⲛⲧⲉⲡⲓⲥⲕⲟⲡⲏ; Ext}
(A) ⲑⲙⲥⲁ=
(B) ⲧϩⲉⲙⲥⲟ=
(F) ⲧϩⲉⲙⲥⲁ=
(S) ⲑⲙⲥⲟⲉⲓⲧ+
(B) ⲧϩⲉⲙⲥⲏⲟⲩⲧ+"	"(S) ⲑⲙⲥⲟ
(B) ⲧϩⲉⲙⲥⲟ
(S, A) ⲑⲙⲥⲉ-
(sA) ⲧϩⲙⲥⲉ-
(B) ⲧϩⲉⲙⲥⲉ-
(S) ⲑⲙⲥⲟ=, ⲑⲙⲥⲟⲟ=
(A) ⲑⲙⲥⲁ=
(B) ⲧϩⲉⲙⲥⲟ=
(F) ⲧϩⲉⲙⲥⲁ=
(S) ⲑⲙⲥⲟⲉⲓⲧ+
(B) ⲧϩⲉⲙⲥⲏⲟⲩⲧ+"	ⲑⲙⲥⲟ, ⲧϩⲉⲙⲥⲟ, ⲑⲙⲥⲉ-, ⲧϩⲙⲥⲉ-, ⲧϩⲉⲙⲥⲉ-, ⲑⲙⲥⲟ=, ⲑⲙⲥⲟⲟ=, ⲑⲙⲥⲁ=, ⲧϩⲉⲙⲥⲟ=, ⲧϩⲉⲙⲥⲁ=, ⲑⲙⲥⲟⲉⲓⲧ+, ⲧϩⲉⲙⲥⲏⲟⲩⲧ+	"(S) ⲑⲙⲥⲟ
(B) ⲧϩⲉⲙⲥⲟ
(S, A) ⲑⲙⲥⲉ-
(sA) ⲧϩⲙⲥⲉ-
(B) ⲧϩⲉⲙⲥⲉ-
(S) ⲑⲙⲥⲟ=, ⲑⲙⲥⲟⲟ=
(A) ⲑⲙⲥⲁ=
(B) ⲧϩⲉⲙⲥⲟ=
(F) ⲧϩⲉⲙⲥⲁ=
(S) ⲑⲙⲥⲟⲉⲓⲧ+
(B) ⲧϩⲉⲙⲥⲏⲟⲩⲧ+"			complete++	verb	καθιζειν, καθισταναι	<b>tr:</b> make to sit, seat <i>(causative of ϩⲙⲟⲟⲥ)</i> [καθιζειν, καθισταναι]	<b>tr:</b> make to sit, seat <i>(causative of ϩⲙⲟⲟⲥ)</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=460a	"ⲑⲙⲥⲟ
ⲑⲙⲥⲉ-
ⲑⲙⲥⲟ=, ⲑⲙⲥⲟⲟ=
ⲑⲙⲥⲟⲉⲓⲧ+"			"ⲑⲙⲥⲉ-
ⲑⲙⲥⲁ="	ⲧϩⲙⲥⲉ-	"ⲧϩⲉⲙⲥⲟ
ⲧϩⲉⲙⲥⲉ-
ⲧϩⲉⲙⲥⲟ=
ⲧϩⲉⲙⲥⲏⲟⲩⲧ+"	ⲧϩⲉⲙⲥⲁ=				3137	3135	460	"<table> <colgroup> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> <col style=""width: 10.0%;""> </colgroup> <tr> <!--Key: 6770-->   <td colspan=""9"" class=""bordered"">  With following preposition: </td> <td rowspan=""11"" class=""bordered""><b>Crum: </b><span class=""crum-page"">460a</span></td> </tr> <tr> <!--Key: 6771--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">ⲉ- (c)</td> <td colspan=""4"" class=""bordered"">  seat in place of </td>  </tr> <tr> <!--Key: 6772--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">ⲉϫⲛ- (c)</td> <td colspan=""4"" class=""bordered"">  upon </td>  </tr> <tr> <!--Key: 6773--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c)</td> <td colspan=""4"" class=""bordered"">   </td>  </tr> <tr> <!--Key: 6774--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">ⲙⲛ-, ⲛⲉⲙ- (c)</td> <td colspan=""4"" class=""bordered"">  with </td>  </tr> <tr> <!--Key: 6775--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">ϩⲓ- (c)</td> <td colspan=""4"" class=""bordered"">  at, on </td>  </tr> <tr> <!--Key: 6776--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">ϩⲛ-, ϧⲉⲛ- (c)</td> <td colspan=""4"" class=""bordered"">  in </td>  </tr> <tr> <!--Key: 6777--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">(S) ϩⲁⲧⲛ- (c)</td> <td colspan=""4"" class=""bordered"">  beside </td>  </tr> <tr> <!--Key: 6778--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">ϩⲓϫⲛ- (c)</td> <td colspan=""4"" class=""bordered"">  upon </td>  </tr> <tr> <!--Key: 6779-->   <td colspan=""9"" class=""bordered"">  With following adverb: </td>  </tr> <tr> <!--Key: 6780--> <td colspan=""1""></td> <td colspan=""4"" class=""bordered"">(S) ⲉϩⲣⲁⲓ (c)</td> <td colspan=""4"" class=""bordered"">  set down </td>  </tr> </table>"	<ul> <li> With following preposition: </li> <li> <ul> <li> ⲉ- (c)<br/>seat in place of </li> <li> ⲉϫⲛ- (c)<br/>upon </li> <li> ⲉϩⲣⲁⲓ ⲉϫⲛ-, ⲉϩⲣⲏⲓ ⲉϫⲛ- (c) </li> <li> ⲙⲛ-, ⲛⲉⲙ- (c)<br/>with </li> <li> ϩⲓ- (c)<br/>at, on </li> <li> ϩⲛ-, ϧⲉⲛ- (c)<br/>in </li> <li> (S) ϩⲁⲧⲛ- (c)<br/>beside </li> <li> ϩⲓϫⲛ- (c)<br/>upon </li> </ul> </li> <li> With following adverb: </li> <li> <ul> <li> (S) ⲉϩⲣⲁⲓ (c)<br/>set down </li> </ul> </li> </ul>
3137	(S) *TGe	3	(meaning unknown)	(meaning unknown)		464a	6	0	2010-02-28	1900-01-01	vagrant		https://pishoyg.github.io/crum/3137.html	(S) <i>plural: </i>ϯϭⲉ	(S) <i>plural: </i>ϯϭⲉ	ϯϭⲉ (ⲛ)	(S) ϯϭⲉ (ⲛ)			complete	noun		<i>meaning unknown</i>	<i>meaning unknown</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=464a	ϯϭⲉ (ⲛ)										3138	3136	464		
3138	(S) tGa	3	(nn /*or ? name*/)	(nn /*or ? name*/)		465b	6	0	2010-02-28	1900-01-01	vagrant		https://pishoyg.github.io/crum/3138.html	(S) ⲧϭⲁ	(S) ⲧϭⲁ	ⲧϭⲁ	(S) ⲧϭⲁ (noun)			complete	noun		<i>nn (or ? name)</i>	<i>nn (or ? name)</i>	https://coptot.manuscriptroom.com/crum-coptic-dictionary?pageID=465b	ⲧϭⲁ (noun)										3139	3137	465		
