key	key_word	key_deriv	word	type	cz	en	gr	crum	pos	added	updated	created_by	updated_by
1	92	0	(S,B) ^^	1	zvýšení, vzrůst /$gk: [[aujhsis]]$/	increase, growth /$gk: [[aujhsis]]$/	aujhsis	2a	1	2010-01-22	2010-10-27	vagrant	vagrant
2	92	1	(B) Jina.	22	zvýšení	increase		2a	2	2010-01-22	2010-10-27	vagrant	vagrant
3	92	0	(S) aeihs,ahs,aehs (A) aeieis,aeis,aiei	4	velikost, rozměr, jakost	greatness, size, quality		2a	3	2010-01-22	2010-10-27	vagrant	vagrant
6	98	0	(B) er a.	2	vysvětit /$gk: [[egkainein]]$/	consecrate /$gk: [[egkainein]]$/	egkainein	3a	1	2010-01-22	2010-10-27	vagrant	vagrant
5	97	0	(S,B) sanabaGhein,sanabaJhini	1	foukač skla (nebo) prodavač	glass-blower (or) seller		3a	1	2010-01-22	2010-10-27	vagrant	vagrant
7	98	0	(S,B) Ji a.,Gi a.	2	vysvětit /$gk: [[egkainein]]$/	consecrate /$gk: [[egkainein]]$/	egkainein	3a	2	2010-01-22	2010-10-27	vagrant	vagrant
8	98	0	(S,sA,B) ^^	1	vysvěcení	consecration		3a	3	2010-01-22	2010-10-27	vagrant	vagrant
9	419	0	(S) eire na.	2	učinit hluchým, ohlušit	make deaf		3b	2	2010-01-22	2010-10-27	vagrant	vagrant
10	422	0	(S,B,F) reFa.	3	jezdec /$gk: [[anabaths]]$/	mounted man, rider /$gk: [[anabaths]]$/	anabaths	4b	10	2010-01-22	2010-10-27	vagrant	vagrant
11	422	0	(S) Gina.	4	vzestup, vstoupení	ascent, mounting up		4b	11	2010-01-22	2010-10-27	vagrant	vagrant
12	422	0	(B) ma na.	3	sedlo	sitting place (when mounted)		4b	12	2010-01-22	2010-10-27	vagrant	vagrant
13	171	0	(B,F) mnta.,meta.	4	čas mládí, mladictví /$gk: [[neoths]]$/	time of youth, youthfulness /$gk: [[neoths]]$/	neoths	5a	1	2010-01-23	2010-10-27	vagrant	vagrant
14	171	0	(B) mntreFKateb a.	4	vraždění dětí	child-slaying		5a	2	2010-01-23	2010-10-27	vagrant	vagrant
15	171	0	(B) er a.	0	být mladý /$gk: [[newteros ginesqai]]$/	be young /$gk: [[newteros ginesqai]]$/	newteros ginesqai	5a	3	2010-01-23	2010-10-27	vagrant	vagrant
16	442	0	(S,sA,B,F) amh	0	(2d sg f)	(2d sg f)		7b	7	2010-01-23	1900-01-01	vagrant	
17	442	0	(S) amhin,amheitn,amwine (A) amheine (sA) amhhtn,amhtn (B,F) amwini (F) amoini,amwni,amwtn,amwitn	0	(2d pl)	(2d pl of above)		7b	8	2010-01-23	2010-10-27	vagrant	vagrant
18	529	0	(B) Jiner a.	1	akt obejmutí	act of embracing		7b	4	2010-01-23	2010-10-27	vagrant	vagrant
19	2671	0	metatSa. nten-	0	uncontrolledness, intemperance	uncontrolledness, intemperance		8b	6	2010-01-23	2010-01-30	vagrant	vagrant
20	2671	0	amoni	1	rukojeť	handle		8b	7	2010-01-23	2010-10-27	vagrant	vagrant
21	2671	0	a. nten-	1	vytrvalost, trpělivost	endurance, patience		8b	8	2010-01-23	2010-10-27	vagrant	vagrant
22	2671	0	metreFa. nten-	4	vytrvalost	endurance		8b	9	2010-01-23	2010-10-27	vagrant	vagrant
23	2671	0	Jina.	1	zadržení, zdrženlivost	arrest, restraint		8b	10	2010-01-23	2010-10-27	vagrant	vagrant
24	508	0	(S,B) mnta.,meta.	4	(řemeslo, průběh) pečení /$gk: [[ergon sitopoiou]]$/	(art, process of) baking /$gk: [[ergon sitopoiou]]$/	ergon sitopoiou	8b	1	2010-01-23	2010-10-27	vagrant	vagrant
25	11	0	(S,B,F) ^^	1	power, possession /$gk: [[kratos]]$/	power, possession /$gk: [[kratos]]$/	kratos	10a	5	2010-01-23	1900-01-01	vagrant	
26	11	0	(S,A,B) ata.	6	unrestrained, uncontrollable /$gk: [[akolastos, apeiqhs]]$/	unrestrained, uncontrollable /$gk: [[akolastos, apeiqhs]]$/	akolastos, apeiqhs	10a	6	2010-01-23	2010-01-30	vagrant	vagrant
27	11	0	(S,B) mntata.,metata.	4	uncontrolledness, incontinence /$gk: [[akrasia, akolasia]]$/	uncontrolledness, incontinence /$gk: [[akrasia, akolasia]]$/	akrasia, akolasia	10b	7	2010-01-23	2010-01-30	vagrant	vagrant
28	11	0	(S) reFa.	3	self-controlled person /$gk: [[egkraths]]$/	self-controlled person /$gk: [[egkraths]]$/	egkraths	10b	8	2010-01-23	2010-01-30	vagrant	vagrant
29	11	0	(S) Gina.	4	control, restraint	control, restraint		10b	9	2010-01-23	2010-01-30	vagrant	vagrant
30	2672	0	(S) mntanSo	4	 /$gk: [[xiliarxia]]$/	 /$gk: [[xiliarxia]]$/	xiliarxia	10b	1	2010-01-23	1900-01-01	vagrant	
31	510	0	(S,B) ^^	1	beauty /$gk: [[kallos, kallonh, euprepeia]]$/	beauty /$gk: [[kallos, kallonh, euprepeia]]$/	kallos, kallonh, euprepeia	11a	1	2010-01-23	2010-01-23	vagrant	vagrant
32	510	0	(S) r a.	0	be pleasing /$gk: [[euprepein, kallos einai]]$/	be pleasing /$gk: [[euprepein, kallos einai]]$/	euprepein, kallos einai	11a	2	2010-01-23	2010-01-30	vagrant	vagrant
33	510	0	(S,B) r ana	0	(S /*once*/, B /*always [r], not [er]*/) | {intr:} be pleased | {tr:} please	(S /*once*/, B /*always [r], not [er]*/) | {intr:} be pleased | {tr:} please		11a	3	2010-01-23	2010-06-02	vagrant	vagrant
34	510	0	(B) r ane	0	 /$gk: [[arestos einai, agaqos]]$/	 /$gk: [[arestos einai, agaqos]]$/	arestos einai, agaqos	11a	4	2010-01-23	2012-05-14	vagrant	vagrant
35	510	0	(S,B) r an= (A) r en=	0				11a	5	2010-01-23	2010-01-23	vagrant	vagrant
36	510	0	(B) r anaF	0	that which pleases /$gk: [[areskeia]]$/	that which pleases /$gk: [[areskeia]]$/	areskeia	11b	7	2010-01-23	2010-01-23	vagrant	vagrant
37	510	0	(B) metr anaF	4	act of pleasing	act of pleasing		11b	8	2010-01-23	2010-01-23	vagrant	vagrant
38	510	0	(B) reFr ana=	3	one who pleases	one who pleases		11b	9	2010-01-23	2010-01-23	vagrant	vagrant
39	510	0	(B) metreFr ana=	4	act of pleasing	act of pleasing		11b	10	2010-01-23	2010-01-23	vagrant	vagrant
40	510	0	(S,B) Ginr anaF,Jinr anaF	22	act of pleasing	act of pleasing		11b	11	2010-01-23	2010-01-23	vagrant	vagrant
41	510	0	(S) an,eiaan (A) enei (B) ini	6	(adj /*?*/), pleasant, (always with [stoi] /*[sT-]*/, so) perfume /$gk: [[murecika, euwdiazein]]$/	(adj /*?*/), pleasant, (always with [stoi] /*[sT-]*/, so) perfume /$gk: [[murecika, euwdiazein]]$/	murecika, euwdiazein	11b	12	2010-01-23	2012-03-08	vagrant	vagrant
42	511	0	(S) ntok (A,F) ntak	20	(2 sg m)	(2 sg m)		11b	1	2010-01-23	2010-01-23	vagrant	vagrant
43	511	0	(S,A) nto (B) nqo (F) nta	20	(2 sg f)	(2 sg f)		11b	2	2010-01-23	1900-01-01	vagrant	
44	511	0	(S) ntoF (A,F) ntaF (B) nqoF	20	(3 sg m)	(3 sg m)		11b	3	2010-01-23	1900-01-01	vagrant	
45	511	0	(S) ntos (B) nqos (A,F) ntas	20	(3 sg f)	(3 sg f)		11b	4	2010-01-23	1900-01-01	vagrant	
46	511	0	(S,B) anon (A,F) anan	20	(1 pl m f)	(1 pl m f)		11b	5	2010-01-23	1900-01-01	vagrant	
47	511	0	(S) ntwtn (A) ntwtne (B) nqwten (F) ntaten	20	(2 pl m f)	(2 pl m f)		11b	6	2010-01-23	1900-01-01	vagrant	
48	511	0	(S) ntoou (A,F) ntau (B) nqwou	20	(3 pl m f)	(3 pl m f)		11b	7	2010-01-23	1900-01-01	vagrant	
