key	key_word	key_deriv	pos	word	type	en	crum
6882	1	0	1	at..ou.,aq..ou.	-	without light /$gk: αωρια$/	480b
6883	1	0	2	(S,L) rmn..ou. (NH) rm..ou. *^<a href=ext codex II - The Gospel of Thomas;107;38;7;oun ouoein Soop mfoun nnourmouoein;codex II - On the Origin of the World;110;103;19;oun ourwme naqanatos rrmouoein Soop Hi tekHh;codex II - On the Origin of the World;110;107;26;oun ourwme natmou rrmouoein Soop Hi teFeHh">Ext</a>^*"	-	man of, dweller in light	480b
6884	1	0	3	(S,A,B,F) r ..ou.,er ..ou.,el ..ou.	-	make, be light, shine	480b
6885	1	6884	4		HEADER	With prep or advb:	480b
6886	1	6885	5	^^^ eJn-	-		480b
6887	1	6885	6	(B) ^^^ HiJen-	-		480b
6888	1	6885	7	(B) ^^^ n-	-		480b
6889	1	6885	8	(S) ^^^ ebol	-		480b
2579	1	6884	9	reF..r ou.	-	one who lights, illuminator /$gk: φωστηρ$/	480b
6890	1	6884	10	Gin..r ou.,Jin..er ou.	-	shining, illumination	481a
2580	1	0	11	(B) T ..ou.	-	give light /$gk: φωτιζειν$/	481a
2581	1	0	12	Ji ..ou.,Gi ..ou.	-	take, get light	481a
2582	1	0	13	(L) tr..ou.	verb	shine	481a
							
4806	2	0	1		HEADER	With following preposition:	393a
4807	2	4806	2	(S,A,L,B,F) ^^ e-	-	{intr:}  /$gk: δανιζειν$/ | {tr:} give to	393a
4808	2	4806	3	(S) ^^ ern-	-	go toward	393b
4809	2	4806	4	(S,L,B) ^^ etn- *^[etoot= n-]^*	-	{intr:} lay upon, command | {tr:} give into hands, entrust	393b
4810	2	4806	5	(S,B) ^^ eJn-	-	put upon, add to, on behalf of |$ {tr:} |$ {intr:} | pay for | fight for	393b
4811	2	4806	6	(S,B) ^^ mn-,^^ nem-	-	fight with /$gk: πολεμειν, ανθισταναι$/	393b
4812	2	4806	7	(S,L,B) ^^ nsa-	-	{intr:} go after, pursue | {tr:} give to, upon, pursue	394a
4813	2	4806	8	(S,L,B) ^^ ntn-	-	entrust to | support | give in, decrease	394a
4814	2	4806	9	(S,A,L,B,F) ^^ oube-	-	fight against /$gk: πολεμειν, ανθισταναι, αντικεισθαι$/	394a
6479	2	4814	10	(S) at..T oube.	-	not to be opposed	394a
6480	2	4814	11	(B) reF..T oube.	-	opponent	394a
6481	2	4814	12	(B) metreF..T oube.	-	opposition	394a
4815	2	4806	13	(S,B,F) ^^ Ha-,^^ Ka-	-	give, sell for | (as nn S)	394a
4816	2	4806	14	(S,A,B) ^^ Hi- (Sf,F) ^^ eHi-	-	lay upon, clothe /$gk: περιβαλλειν$/ | fight for	394a
4817	2	4806	15	(S) ^^ Hatn-	-		394b
4818	2	4806	16	(S,B,F) ^^ HiJn-	-	{intr:} give for, on behalf of /*?*/ | {tr:} put upon	394b
4819	2	0	17		HEADER	With following adverb:	394b
4820	2	4819	18	(S,A,L,B,F) ^^ ebol	-	{intr:} give forth, away, sell /$gk: πωλειν, πιπρασκειν$/ | {tr:}  /$gk: πωλειν, πιπρασκειν$/ | (as nn), sale	394b
6482	2	4820	19	^^^ *^[ebol]^* e-	-	sell for, as | to | set, put forth upon	394b
6483	2	4820	20	^^^ *^[ebol]^* Ha-,^^^ *^[ebol]^* Ka-	-	for, against	394b
6484	2	4820	21	^^^ *^[ebol]^* HiJn-	-	fight on behalf of	394b
6485	2	4820	22	reF..T ebol.	-	seller	394b
4821	2	4819	23	(S,B) ^^ epesht	-	put, send downward /$gk: καταβαλλειν$/	395a
4822	2	4819	24	(B) ^^ epSwi	-	raise up	395a
4823	2	4819	25	(S,A) ^^ epaHou	-	go backward	395a
4824	2	4819	26	(S) ^^ eqh	-	go forward, progress	395a
4825	2	4819	27	(S,A,L,B,F) ^^ eHoun	-	give, hand in	395a
6486	2	4825	28	^^^ *^[eHoun]^* e-	-	into	395a
6487	2	4825	29	^^^ *^[eHoun]^* nsa-	-		395a
6488	2	4825	30	^^^ *^[eHoun]^* naHrn-	-	respond to	395a
6489	2	4825	31	^^^ *^[eHoun]^* Ha-	-	place beneath	395a
6490	2	4825	32	(S) ^^^ *^[eHoun]^* Hn- (A) ^^^ *^[eHoun]^* Han- (B) ^^^ *^[eHoun]^* Ken-	-	strike into, upon	395a
6491	2	4825	33	^^^ *^[eHoun]^* eHrn-	-	strike against, oppose	395a
6492	2	4819	34	(B) reFT eKoun eHrn-	-	opposer	395b
4826	2	4819	35	(S,A,L,B,F) ^^ eHrai (B) ^^ eKrai	-	send up, in, lay down |$ {intr:} (S) |$ {tr:}  /$gk: επιβαλλειν$/	395b
6493	2	4826	36		HEADER	intr :	395b
6494	2	6493	37	^^^ *^[eHrai]^* e-	-		395b
6495	2	6493	38	^^^ *^[eHrai]^* mn-	-		395b
6496	2	4826	39		HEADER	tr :	395b
6497	2	6496	40	^^^ *^[eHrai]^* e-	-	lift up, commit to	395b
6498	2	6496	41	^^^ *^[eHrai]^* Ha-	-		395b
2165	2	0	42	(S,B) Ji T,Gi T	verb	(as one vb), buy and sell, trade	395b
2166	2	0	43	(S,A,B) ^^	noun male	gift, bounty /$gk: δομα, δοσις$/ | sale /$gk: πρασις$/ | fight /$gk: μαχη$/ | (paral [Ji, Gi]), exchange, trading	395b
2167	2	0	44	(B) ma nT	-	fighting place	396a
2168	2	0	45	(S,B) reFT	-	giver /$gk: δοτης$/ | fighter /$gk: μαχητης, πολεμιστης$/	396a
2169	2	2168	46	mntreFT,metreFT	-	generosity, charity	396a
2170	2	2168	47	r reFT,er reFT	-	be giver	396a
2171	2	0	48	GinT,JinT	-	giving, selling | fighting (B)	396a
							
5672	3	0	1		HEADER	intr :	216b
5674	3	5672	2	^^^ n-	-	(dat = Gk acc)	216b
5675	3	5672	3	^^^ Ha-,^^^ Ka-	-	(Gk acc)	216b
1104	3	0	4	(S,A,B,F) ^^	noun male	pity, charity /$gk: ελεος, ελεημοσυνη$/	216b
1105	3	0	5	(S,B,F) eire pn.,r pn.,eire oun.,r oun.	-	do charity, kindness	217a
5676	3	1105	6	^^^ mn-	-		217a
5677	3	1105	7	(S) ^^^ eHrai eJn-	-	(sim)	217a
5678	3	1105	8	(B) ^^^ Ka-	-	(sim)	217a
5679	3	1105	9	(B) ^^^ Ken-	-	(sim)	217a
1106	3	0	10	(S) Senna	-	mercy /*?*/	217a
1107	3	0	11	(S) Sn na	-	receive charity	217a
1108	3	0	12	(B) Sounai	-	worthy of pity, pitiable	217a
1109	3	0	13	(L) Ji na (B,F) Gi n.	-	get pity, take alms	217a
1110	3	0	14	(S,A,B,F) atn.,aqn.	-	pitiless	217a
1111	3	1110	15	r ..atn.,o n..at.	-	be pitiless	217a
1112	3	1110	16	mnt..atn.,met..atn.	-	pitilessness	217a
1113	3	0	17	(S,A,L) mntn. (B) metn.,meqn.	noun female	pity, charity	217a
1114	3	1113	18	(S) r m.	-	do charity	217a
1115	3	1113	19	(S) sr m.	-	distribute charity	217a
1116	3	1113	20	(S) T m.	-	give charity	217a
1117	3	1113	21	(S) Saat mm. (S,B) Set m.,Sat m.	-	ask pity, charity | (as nn B), one asking charity /$gk: πενης, προσαιτης$/	217b
1118	3	1113	22	(S,L) Ji m.	-	receive charity	217b
1119	3	0	23	(B) remnnai	-	pitiful, charitable person	217b
1120	3	0	24	(B) reFnai	-	(meaning same)	217b
1121	3	0	25	(B) Jinnai	noun male	pity, act of pitying	217b
1122	3	0	26	(B) naHht (S,A,B,F) naht (Sf) naeiht	-	pitiful of heart, compassionate /$gk: ελεημων$/ | (as adj)	217b
1123	3	1122	27	(S,B) r naht	-	be pitiful	217b
1124	3	1122	28	(S) main.	-	charity-loving /$gk: φιλελεημων$/	217b
1125	3	0	29	(S,B,F) mntnaht,meqnaht	-	pity, charity /$gk: ελεημοσυνη$/	217b
1126	3	1125	30	(S,B,F) r ..mntn.	-	do charity, have pity	217b
1127	3	1125	31	(B) T metnaht	-	give charity	217b
							
6348	4	0	1		HEADER	With following preposition:	362a
6349	4	6348	2	(S) ^^^ e-	-	save from	362a
