key	word	type	en	crum	crum-last-page	dawoud-pages	categories	notes	senses	sisters	antonyms	homonyms	greek-sisters	quality
1	(S) ouoein (A,L) oua$^e^$ine (Sa,L,F) ouaein (B) ouwini (O) ouoin (NH) ouoeine *^<a href=ext codex XIII - Trimorphic Protennoia;158;36;32;ouoeine pe eFSoop Hn ouoeine;codex II - The Apocryphon of John;106;4;9;eFT mpouoeine natSitF">Ext</a>^*"	noun male	light /$gk: φως, φωτισμος$/ | dawn /$gk: ανατολη, ορθρος$/  | light (of eyes) | (as adj) /$gk: φωτεινος$/	480a		266b-267a	physics		{"1": "light", "2": "dawn", "3": "light (of eyes)"}	709; 239; 1041; 458 #drv406; 3086; 257	168; 2157; 271; 846; 633; 2626			complete+cz
2	(S,A,L,B,F) T (S,F) ti (S) Ti,Tei,tei,tn (A) te (S,B,F) T- (A,F) te- (F) ta- (S) ta$^a^$=,T= (A,L,F) tee= (A,L) teet= (A) te= (L,F) teeit= (B) thi=,thit= (F) tei=,teiei=,teit=,tait= *^and other irregular S,Sa,F forms^* (S) to+,tw+ (Sf) ta+ (A) teie+,te+ (L) toeie+ (B) toi+ (F) ta$^a^$i+,taaie+ (S,L,F) ^tai- (S,A,L) **ma (B) **moi (F) **mai (S,B,F) **ma- (S) **mat=,mhei= (B) **mhi=,mhit=,moit= (F) **mai= (NH) **ma= *^<a href=ext codex II - The Gospel of Thomas;107;49;31;pete pwei pe matnnaeiF">Ext</a>^*"	verb	{intr:} |$ give, pay (& related meanings) /$gk: διδοναι$/ |$ fight | {tr:} |$ (mostly c dat) |$ pay |$ sell (S) |$ smite /$gk: τυπτειν$/ | (imperative) |$ (with [T]) |$ (not as imperative B) |$ [Jinm.] | {qual:} given, being upon | (p c), giver	392a		834a-837b,162a			{"1": "give", "2": "pay", "3": "fight", "4": "sell", "5": "smite"}	3358; 2407; 1034; 1056; 1135; 610; 2319 #drv5309; 2379; 2042; 2051; 1661	131; 9			complete+
3	(S) na,naa (S,A,L) nae (S,B) nai (S) naeih (F) nei,neei (S,A,B,F) ^na- *^[naHht, naht]^*	verb	{intr:} have pity, mercy /$gk: ελεειν$/	216b		192a-193a,191b-192a			{"1": "have pity, mercy"}	19 #drv3641				complete++
4	(S,A) swte (A) swt (Sf,B,F) swT (S,B) set- (S) sot- (S,A) swt- (S,B) sot= (S) soot= (S,A,F) sat= (S,A) saat=	verb	{intr /*rare*/:} redeem, rescue /$gk: λυτρουσθαι, εξαιρεισθαι$/ | {tr:} /$gk: λυτρουσθαι, ρυεσθαι, εξαιρεισθαι, εκπριασθαι$/	362a		422b-423a			{"1": "redeem, rescue"}	400; 116	199		C10677;C10676	complete++
5	(S,A,L,F) ei (L,B,F) i (S) **amou	verb	{intr:} come, go /$gk: ερχεσθαι, ηκειν$/ | (as auxil. or subsidiary), be about to	70a		75a-77b			{"1": "come", "2": "go", "3": "be about to"}	1171; 442; 535; 1148; 138	123; 224			complete++
6	(S,L) Jpo *^for [tSpo]^* (A) tQpo (B) Jfo (F) Jpa (S,A,F) Jpe- (A) tQpe-,tQpo- (S,L) Jpo- (L,F) Jpa- (F) Spa- (B) Jfe-,tHfe- (S) Jpo= (A) tQpa= (L,F) Jpa= (B) Jfo= (S) Jpaeit+ (B) Jfhout+	verb	{tr:} |$ beget, bring forth (of male or female) (/*causative of [Swpe]*/) /$gk: γενναν, τεκειν$/ |$ acquire /$gk: κτασθαι, ποιειν$/	778b		768b-770a,767b			{"1": "beget", "2": "acquire"}	26; 13				complete++
7	(S,B) aHo (S) aHou (A) eHo (F) aHa (B) aHor (S) *aHwwr (A) *eHwr (B) *aHwr (F) *aHwwr	noun male	treasure /$gk: θησαυρος$/ | treasury, store house	24b		16b,7b			{"1": "treasure", "2": "treasury, store house"}	1531				complete
8	(S,B,F) ouwn (S,Sa,L) ouhn (A,L) ouen (A) eouen (S,B,F) a$^o^$uwn (S) oun- (A) aoun- (S,B,F) ouhn+ (L) ouen+ (O) ^ouan- (S,B,F,O) **aouwn (S) **oun- (A) **euen,aoun-	verb	{intr:} open, be open /$gk: ανοιγειν, διανοιγειν, ρηγνυναι$/ | {tr:} /$gk: ανοιγειν, διανοιγειν, χαινειν$/ | (p c O)	482b		269a-270a,9a			{"1": "open"}	1738; 1669; 1780	1989; 204			complete++
9	(S,A,L,B,F) Swp (S,A,L,B) Sp- (S,B) Sep- (S,F) Sap- (S,L) Swp- (S,B) Sop= (Sa,A,L,F) Sap= (S,A,B,F) Shp+ (L,B) ^Sap-	verb	{intr:} |$ receive, contain, take, suffer /$gk: αναλαμβανειν, χωρειν, πασχειν, δεχεσθαι$/ |$ buy /$gk: αγοραζειν, κτασθαι$/ | {qual:} acceptable /$gk: δεκτος$/ | (p c L,B), receiver	574b		603b,603b-604b			{"1": "accept", "2": "buy", "3": "receive", "4": "contain", "5": "take", "6": "suffer"}	131	2	1860; 1948; 1949; 1950		complete++
10	(S,L,B,F) S- (S,F) eS- (Sa) H- (A) Q-	verb	(impers vb, lit) know, (so) be able, permitted /$gk: δυνασθαι, ισχυειν$/ |$ (with pronom subj) |$$ (c neg pref often = adj in α―τος), unable to |$$ (sim with [at-] B) |$ (with nom subj)	541a		542a-542b			{"1": "be able to"}	151 #drv3992				complete
11	(S,A) amaHte,amaHe (A,B) amaHi (L) emaHte (F) ameHi,emeHi,meHi	verb	{intr:} prevail, rule, be in possession, valid, (also) lay hold on, (so) restrain /$gk: κρατειν, κατεχειν$/ | {tr:} grasp, embrace, possess, restrict, detain /$gk: λαμβανειν$/	9a		4a-4b			{"1": "prevail, rule", "2": "possess", "3": "be valid", "4": "lay hold on", "5": "embrace", "6": "restrict", "7": "detain"}	2671; 902; 529; 2181; 2199; 1061; 2545; 1811				complete+cz
12	(S,A,L,B,F) twbH (S,F) twbaH (S,A,L) tbH- (S) tebH- (Sa,A) twbH- (S,B) tobH= (Sf) taHb= (F) tabaH=	verb	{intr:} pray, entreat /$gk: ευχεσθαι, δεισθαι$/ | {tr:} entreat, console	402a		473b-474a			{"1": "entreat"}	75; 313; 308; 71 #drv3326; 393; 2227				complete++
13	(S,L,O) Swpe (A) Qwpe (B,F) Swpi (O) Kwpe,swbi (S,L) Soop+ (A) Qoop+ (B,F) Sop+ (F) Saap+	verb	{intr:} become, befall /$gk: ειναι, γινεσθαι$/ | (impersonal), befall /$gk: γινεσθαι, συμβαινειν$/ |$ (3d sg f) |$ (3d sg m) | {qual:} be, exist	577b		605a-606a,606a-606b,606b,46b			{"1": "become", "2": "befall", "3": "exist"}	34; 2523; 681; 665; 674; 1063 #drv800; 6		1953		complete+
