Marcion	Crum	_v_	Entry
3386	1a		[[[ⲁ]]] first letter of alphabet, called [[ⲁⲗⲫⲁ]] [[S]] (PS 353, Br 124, Leyd 458, P 131^3 77, My 38) & [[B]] (Ap 1 8, K 1, Stern p 418), [[الفة]].\tAs numeral = __one__ [[B]][[F]], rarely [[S]] (Br 127) except in semi-Gk documents. Represents vowels unwritten in earlier hierogl., but sometimes visible in the half-consonants of later & of dem.\tDialectal equivalents: *a.* [[S]] [[ⲁ]] = elsewhere ([[A]][[F]]) [[ⲉ]], [[ⲏ]], as [[ⲁⲗ]], [[ⲁⲩⲁⲛ]], [[ⲃⲁϩⲥⲉ]], [[ⲙⲁ]], [[ⲙⲁⲁⲃ]], [[ⲡⲁϩⲟⲩ]], [[ⲣⲙⲙⲁⲟ]], [[ⲟⲩⲁϩⲉ]], [[ϩⲧⲁⲓ]].\t*b.* [[S]] [[ⲁ]] = elsewhere [[ⲟ]] ([[A]][[B]]), as [[ⲁⲛϩ]], [[ⲕⲁⲉ]], [[ⲥⲛⲁⲩ]].\t*c.* [[ⲁ]] elsewhere (mostly [[B]]) = [[S]] [[ⲉ]], as [[ⲉⲃⲟⲧ]], [[ⲉⲗⲟⲟⲗⲉ]], [[ⲉⲩⲱ]], [[ⲕⲉⲗⲉⲛⲕⲉϩ]], [[ⲙⲉϩ-]], [[ϩⲉⲙⲛⲓϥⲉ]], (or [[A]]) as [[ⲃⲉⲛⲓⲡⲉ]], [[ⲉ-]], [[ⲉⲣⲏⲩ]], [[ⲉⲛⲉϩ]].\t*d.* [[ⲁ]] elsewhere ([[A]][[F]]) = [[S]] [[ⲟ]], as [[ⲁⲗⲟⲩ]], [[ⲉⲓⲟⲟⲣ]], [[ⲕⲟⲉⲓϩ]], [[ⲗⲟ]], [[ⲙⲁϣⲟ]], [[ⲟⲉⲓⲙⲉ]], [[ⲟⲟⲧⲉ]], [[ϩⲟⲟⲗⲉ]] & in causatives, as [[ⲧⲁⲗⲟ]], [[ⲑⲃⲃⲓⲟ]].\t*e.* [[S]] final [[ⲁ]] = [[B]] [[ⲁⲓ]], as [[ⲛⲁ]], [[ⲟⲩⲁ]], [[ϣⲁ]].\t*f.* [[B]] adds prosthetic [[ⲁ-]] in [[ⲁⲙⲟⲛⲓ]], [[ⲁⲛⲁⲓⲱ]], [[ⲁⲟⲩⲱ]] __await__, [[ⲁⲟⲩⲱⲛ]], [[ⲁⲟⲩⲏⲣ]], [[ⲁϫⲟ]], [[ⲁϫⲛ]], [[ⲁϭⲟ]], [[F]] in [[ⲁⲛⲟⲩϩ]], [[S]] (?) in [[ⲁⲧⲟ]]. On changes from & to [[ⲁ]] in [[A]][[A^2]] _v_ Rösch 35, El 27, AP _Einl_ 14; [[S^a]] _v_ Ep 1 236; in [[F]] _v_ Asmus 16. Before final [[ϩ]] [[S]][[F]] in 3-rad. words [[ⲁ]] sometimes replaces _ĕ_, as [[ⲉⲓⲱⲣⲁϩ]], [[ⲥⲱⲟⲩⲁϩ]] (_cf_ JKP 2 46 48 [[ⲥⲱⲟⲩϩⲁ]]), [[ⲱⲛⲁϩ]].
627	1a		[[[ⲁ-]]] [[S]][[A]][[B]][[F]] verbal prefix derived from [[ⲉⲓⲣⲉ]], characterizes (_a_) perf, (_b_) pluperf, (_c_) aorist tenses, as (_a_) [[ⲁⲧⲉⲩϭⲟⲙ ⲱϫⲛ]], [[ⲁⲕⲥⲱⲧⲉ ⲙⲡⲉⲕⲗⲁⲟⲥ]], [[ⲛⲁⲓϭⲉ ⲛⲧⲁⲩϣⲱⲡⲉ]], (_b_) [[ⲛⲉⲁⲩϣⲧⲟⲣⲧⲣⲡⲉ]], (_c_) [[ϣⲁⲣⲉⲟⲩⲉⲓⲱⲧ ϣⲛϩⲧⲏϥ]], [[ϣⲁⲥⲣ ϣⲡⲏⲣⲉ]].
628	1a		[[[ⲁ-]]] [[S]][[A]][[B]][[F]][[O]] (also [[ⲉ-]] [[O]]) imperat prefix of vbs [[ⲗⲟ]], [[ⲛⲁⲩ]], [[ⲟⲩⲱⲙ]] ([[B]] only, Ez 12 18, BSM 44), [[ⲟⲩⲱⲛ]], [[ⲟⲩⲱϩ]] ([[S]] in [[ⲁⲟⲩⲱ]], [[ⲁⲩⲱ]] __and__), [[ϫⲱ]]; _v_ Sethe _Verbum_ 2 507, Spg _Dem Gram_ 214, Sdff 331 ([[ⲁϫⲱϩⲙ]] is 2 sg f pf); also prefixed to special imperat forms: [[ⲁⲗⲓⲟⲩⲓ]], [[ⲁⲙⲟⲩ]] &c, [[ⲁⲛⲓ]] &c, [[ⲁⲣⲓ]], [[ⲁⲩ]], [[ⲁⲩⲉⲓⲥ]].
631	1a	v	[[[ⲁ-]]] [[A]] prep _v_ [[ⲉ-]].
629	1a		[[[ⲁ-]]] [[S]][[A]][[B]][[F]] ([[B]] rare, [[A]] El 44), [[ⲁⲩ-]] [[B]], ////[[ⲁⲁ-]] [[S]]: Mor 50 62, HT _W_ 79 [[ⲛⲁⲁⲡϣⲁⲩ]]//, adv of indefiniteness, __about__; often with [[ⲛ-]] (rare [[ⲛⲛ-]]) prefixed; _v_ AZ 51 122. *a.* of distance, mostly [[ⲛⲁ-]], [[ⲛⲁⲩ-]]: Ge 21 16 [[S]][[B]] [[ⲛⲁ-]], Jon 3 3 [[B]] [[ⲛⲁⲩ-]] ([[S]][[A]] [[ⲉⲥⲛⲁⲣ]]) [[ὡσεί]], Mt 14 24 [[B]] [[ⲛⲁⲩ-]] ([[S]] [[ⲛ-]]), Jo 21 8 [[S]] [[ⲛⲁ-]] ([[B]] [[ⲛⲁⲩ-]]), El 44 [[A]] [[ⲛⲁⲧⲉⲓⲟⲩⲉ ⲛⲥⲧⲁⲇ.]], N&E 39 339 [[B]] near village [[ⲁⲩⲅ̅ϯ ⲙⲙⲩⲗⲗⲓⲟⲛ]], MG 25 347 [[B]] distant from cell [[ⲉⲛⲁⲩⲫⲟⲩⲱϣ ⲙⲓ̅ⲃ̅ ⲙⲙⲓⲗ.]], BM 524 [[F]] let them not dwell [[ⲛⲁϣⲏⲧ ⲙⲙⲓⲗ. ⲉⲡⲕⲱⲧⲓ]], BMis 448 [[S]] when was distant [[ⲛⲁϣⲟⲙⲛⲧ ⲙⲙⲓⲗ.]] *b.* of height, depth: Nu 11 31 [[S]] [[ⲛⲛⲁ-]] ([[B]] [[ⲛⲁⲩ-]]) [[ὡσεί]], _cf_ BAp 88, ShC 42 200 [[S]] down into earth [[ⲛⲁⲡϣⲱⲕϩ ⲛⲟⲩϣⲏⲓ]], SHel 55 [[S]] palace [[ⲉϥⲛⲁⲉⲣ ⲁϣⲉ ⲙⲙⲁϩⲉ ⲛϫⲓⲥⲉ]], AM 56 [[B]] plunged in river [[ⲛⲁⲩⲩ̅ ⲙⲙⲁϩⲓ]], Mor 24 25 [[F]] pits dug [[ⲉⲛⲁⲛ̅ ⲙⲙⲉϩⲓ]] ([[S]] [[ⲛϣϥⲉ ⲛ-]]). *c.* of weight: Mk 6 37 [[S]] [[ⲛⲁ-]] ([[B]] Gk om), ShC 73 145 [[S]] [[ⲉⲡϣⲁⲩ ⲛⲁϯⲟⲩ ⲛⲃⲓⲣ]] (var [[ⲛ-]]), TstAb 168 [[B]] tears exceeded smiles [[ⲛⲁⲩⲓ̅ⲁ̅ ⲛⲕⲱⲃ ⲛⲥⲟⲡ]]. *d.* of number, mostly [[ⲁ-]], [[ⲁⲩ]]: Ex 32 28 [[S]] ([[B]] om) [[ⲁ-]] [[εἰς]], Jos 7 4 [[S]] [[ὡσεί]], 1 Kg 22 2 [[S]] [[ⲁ-]] [[ὡς]], Ac 4 4 [[S]] [[ⲁϯⲟⲩ ⲛϣⲟ]] (var [[ⲛⲉ̅]], [[B]] om) [[ὡσεί]], Va 77 177 [[B]] [[ϩⲁⲛⲁⲑⲃⲁⲛⲉ ⲧⲟⲩⲏⲡⲓ]] (Gk om). *e.* of time: Dan 1 12 [[B]] ([[S]] Gk om), Ac 19 34 [[S]] [[ⲛⲁ-]] (var [[ⲛⲛⲁ-]]), [[B]] [[ⲛⲁⲩ-]] [[ὡς ἐπί]] acc, Mk 5 25 [[S]] [[ⲛⲁ-]] ([[B]] Gk om), Lu 8 42 [[S]] [[ⲁ-]] ([[B]] om) [[ὡς]], Ro 4 19 [[S]] [[ⲁ-]] ([[B]] [[ⲛⲁⲩ]], varr [[ⲁⲩ-]], [[ⲁ-]]) [[πού]], MG 17 316 [[S]] [[ⲛⲉϥϩⲛⲁϫⲟⲩⲱⲧⲉ ⲛⲣⲟⲙⲡⲉ]] ([[B]] _ib_ 5 om) [[περί]] acc, Est 4 11, Mk 9 21 [[S]] [[ⲉⲓⲥ ⲁ-]] ([[B]] Gk om), BAp 78 [[S]] [[ⲉⲓⲥ ⲁⲟⲩⲏⲣ ⲛⲛⲁⲩ]], 1 Thes 2 17 [[S]] [[ⲛⲁ-]], [[F]] [[ⲁ-]] ([[B]] Gk om), PSBA 10 398 [[B]] [[ⲛⲁⲡϣⲁⲩ ⲛⲟⲩⲟⲩⲛⲟⲩ]], _cf_ Va 63 7 [[B]] loaves [[ⲛⲁⲡϣⲁⲩ ⲛⲭⲱ ϧⲁⲣⲱⲟⲩ]] ([[S]] BMis 374 [[ⲛⲁⲡϣⲓ]]).
369	1b	v	[[[ⲁ-]]] in [[ⲁⲧⲟⲟⲧ⸗]], [[ⲁⲡⲁⲧⲟⲟⲧ⸗]] _v_ [[ⲧⲱⲣⲉ]] ([[ⲧⲟⲟⲧ⸗]]).
1040	1b	v	[[[ⲁ-]]] in [[ⲁⲧⲱϥ]] _v_ [[ⲡⲱ⸗]] ([[ⲧⲱ⸗]]).
1127	1b	v	[[[ⲁⲉⲓⲉ]]] [[A]] _v_ [[ϩⲁⲉⲓⲟ]].
92	1b		[[[ⲁⲓⲁⲓ]]] ([[ⲁⲁⲓ]] J 89 & 86) [[S]][[B]], [[ⲁⲓⲉⲩⲉ]] (Ex 2 10), [[ⲁⲉⲓⲉⲩⲧⲉ]] [[A]], [[ⲁⲓⲉⲓ]] (Mor 38 103) [[F]], [[ⲟⲓ]] [[S]][[B]][[O]]†, [[ⲁⲉⲓ]] [[A]][[O]]†, ////[[ⲁⲓⲉⲩ†]] [[A]] oftenest//, vb *I.* intr, __increase__ in size, __advance__ in age: Ge 1 28 [[S]][[A]][[B]], 35 11 [[S]][[B]], Jer 3 16 [[S]][[B]], Ac 7 17 [[B]][[F]] (paral [[ⲁϣⲁⲓ]]), Mt 6 28 [[B]], 13 30 [[S]][[B]][[F]], _ib_ 32 [[B]][[F]] ([[S]] [[ⲣ ⲛⲟϭ]]), Jo 3 30 [[B]] ([[S]] [[ϫⲓⲥⲉ]]) [[αὐξάνειν]], Lammayer 37 [[S]] God's spirit [[ⲧⲣⲉⲩⲁ.]] = R 1 2 36 [[ⲁⲩⲝⲁⲛⲉ ⲙⲙⲟⲟⲩ]], ROC 17 401 [[B]] [[ⲉⲁϥⲑⲣⲉⲛⲁⲛⲁⲣⲉⲧⲏ … ⲁ.]] [[συναυξάν.]]; Ps 19 6 [[S]][[B]], 91 6 [[S]] ([[B]] [[ⲉⲣ ⲛⲓϣϯ]]), Pro 8 16 [[S]][[A]] ([[B]] do), Ez 16 7 [[S]][[B]] (paral [[ⲁϣⲁⲓ]]) //[[μεγαλύνθεσθαι]]//[[μεγαλύνεσθαι]]//; Ge 18 11 [[S]] (var [[ⲁⲗⲉ ⲉϩⲣⲁⲓ]]) [[B]], Jos 13 1, 23 1 [[S]] (var do) [[B]], Jth 16 23 [[S]], 2 Mac 6 18 [[A]], Lu 1 7 [[S]][[B]] [[προβαίνειν]]; Is 44 14 [[S]] ([[B]] [[ϣⲓⲁⲓ]]) [[μηκύνειν]], Ex 2 10 [[A]], ROC 17 401 [[B]] [[ἁδρύνεσθαι]], Job 14 8 [[B]] ([[S]] [[ⲣ ϩⲗⲗⲟ]]) [[γηράσκειν]], BMar 159 [[S]] [[ⲡⲉⲛⲧⲁϥⲁ. ϩⲛⲑⲏⲗⲓⲕⲓⲁ]] [[πρεσβύτης εἶναι]], Ge 7 17 [[S]] ([[B]] [[ⲛⲏⲟⲩ ⲛⲁϣⲁⲓ]]) //[[πληθύναι]]//[[πληθύνεσθαι]]//, Ex 10 1 [[S]][[B]] (? _l_ [[ἐπλήσθη]], _cf_ 11 9), C 86 189 [[B]] [[ⲛⲓⲛⲁϩϯ ⲉϥⲛⲏⲟⲩ ⲛⲛⲁ.]] (_sic_), Abst 263 [[B]] of crops, Wess 18 54 [[S]] of hair.\n*II.* tr Deu 6 3 [[B]] (PSBA 25 101, var [[ⲁϣⲁⲓ]]) [[πληθ.]] Qual __great__, __goodly__, __honoured__: Jos 4 4 [[S]][[B]], 1 Kg 22 14 [[S]], 2 Kg 23 19 [[S]], Nah 3 10 [[A]] ([[B]] [[ⲧⲁⲓⲏⲟⲩⲧ]]), [[ἔνδοξος]], Jud 5 29 [[S]] (Masp.) [[ἄρχων]], 2 Kg 1 23 [[S]] [[ⲉⲩⲟⲓ ϩⲙⲡⲉⲩⲱⲛϩ]] (Mor, _cf_ Masp), Cl 60 4 [[A]] [[ⲡⲕⲣⲉⲛ ⲉⲧⲁⲉⲓ]] (so BM 205 [[S]]) [[πανάρετος]] (var [[ἔνδοξος]]); ShP 130^4 157 [[S]] [[ⲡⲉⲥⲭⲏⲙⲁ ⲉⲧⲟⲓ ⲉⲧϩⲁⲉⲟⲟⲩ]], 2 Kg 1 19 (Mor, _cf_ Masp) [[S]] [[ⲛⲉⲧⲱⲉⲓ ⲛⲧⲟⲟⲧⲕ]] [[τὰ ὕψη σου]]; ShC 73 27 [[S]] [[ⲡϣⲏⲣⲉ ⲉⲧⲟⲓ ⲛⲧⲟⲟⲧⲥ]], ShBM Or 8800 3 [[S]] [[ⲛⲉⲧϥⲟⲉⲓ ⲛⲧⲟⲟⲧⲟⲩ]] (_sic l_ R 2 3 8), Hor 79 [[O]] [[ⲁϥⲁⲉⲓ ⲛⲧⲱⲧϥ]], AZ 21 94 [[O]] Michael [[ⲉⲧⲟⲓ ⲛⲧⲉⲙⲡⲛ︤ⲉ︥]], Ryl 94 (33 f 2) [[S]] some [[ⲉⲩⲟⲓ ⲛⲧⲟⲟⲧⲧⲏⲩⲧⲛ]] like right hand (_cf_ Sa 12 7, Jth 15 11 [[ⲉⲧⲧⲁⲉⲓⲏⲩ ⲛⲧⲟⲟⲧ⸗]], also Ps 138 17 [[S]] where [[ⲁ.]] = [[B]] [[ⲧⲁⲓⲟ]]), Bor 284 2 [[S]] [[ⲡⲉⲓⲛⲟϭ ⲛⲏⲓ ⲉⲧⲛⲉⲥⲱϥ ⲁⲩⲱ ⲉⲧⲟⲓ]], AM 15 [[B]] [[ⲉϥⲟⲓ ⲛⲟⲓ ⲛϭⲁⲥⲓϩⲏⲧ]], ////Miss 4 205 [[B]] [[ⲧⲁⲓⲛⲓϣϯ ⲉⲧⲟⲓ]] (delete [[ⲛⲧⲟⲓ]]) [[ⲛⲧⲁⲓⲙⲁⲓⲏ]]// EW 4 [[B]] God made man [[ⲉϥⲟⲓ ⲉⲛⲁⲫⲱⲫ]].\n― [[S]][[B]] nn m, __increase__, __growth__: Eph 4 16, Col 2 19 [[B]] [[αὔξησις]], My 32 [[S]] [[ⲡⲁ. ⲛⲧϩⲩⲗⲓⲕⲓⲁ]], Va 61 118 [[B]] [[ⲡⲁ. ⲛⲛⲓⲟⲩⲧⲁϩ]]; with [[ϯ]] [[B]]: Eph 4 15, Va 57 21, _ib_ 134 [[αὐξάνειν]], Va 58 29 [[ⲉⲣⲉⲫϯ ϯ ⲁ. ⲛⲛⲓϣϣⲏⲛ]], C 89 35 [[ⲛⲁϥϯ ⲉⲡⲁ. ϧⲉⲛⲛⲓⲥⲃⲱⲟⲩⲓ]] (? _l_ [[ⲁⲛⲁⲓ]], _cf_ _ib_ _infra_); with [[ϭⲓ]] [[B]]: Va 57 175 [[ⲉⲩϭⲓ ⲁ. ⲟⲩⲟϩ ⲉⲩⲟⲓ ⲙⲃⲉⲣⲓ]] [[ἀκμάζειν]], _ib_ 98 [[ἀνθεῖν]].\n[[ϫⲓⲛⲁ.]] [[B]] nn m f, __increase__: Va 57 99 [[ⲡⲓϫ. ⲛⲧⲉ ⲛⲟⲩⲕⲁⲣⲡⲟⲥ]], Va 58 10 [[ϣⲁⲧⲉϥϫ. ϧⲉⲛϯϩⲩⲗⲓⲕⲓⲁ]]; [[ϫⲓⲛϯ ⲁ.]] [[B]]: Va 57 79 [[ⲡϫ. ⲛϯⲕⲁⲕⲓⲁ]].\n[[ⲁⲉⲓⲏⲥ]], [[ⲁⲏⲥ]], [[ⲁⲉⲏⲥ]] (C 42 98) [[S]] Sh only, [[ⲁⲉⲓⲉⲓⲥ]], [[ⲁⲉⲓⲥ]], [[ⲁⲓⲉⲓ]] (Cl) [[A]], nn f, __greatness__, __size__, __quality__: C 73 23 [[ⲛⲉⲓⲉⲟⲟⲩ ⲛⲧⲉⲓⲁ.]] (var [[ⲙⲓⲛⲉ]]), C 42 37 [[ⲟⲩⲥⲙⲟⲩ ⲛⲁϣ ⲛⲁ.]] (paral [[ϭⲟⲧ]]), BMOr 8664 7 [[ⲛⲁϣ ⲛⲁ. ⲛⲉ ⲛⲉⲯⲩⲭⲏ]] of virgins ?, Cl 45 7 [[A]] [[τοσοῦτο]].\n_V_ also [[ⲟ]] __great__.
1127	2a	v	[[[ⲁⲉⲓⲟ]]] [[B]] _v_ [[ϩⲁⲉⲓⲟ]].
