"-
   ‌ A
   ⲁ"	"(1a); First letter of the alphabet;
   ⲁ : One;
   ⲁ : Thousand."
ⲁ	"(1a); vbal prfx derived from ⲓⲣⲓ , it
   characterizes:
   -
   Perfect tense,
   -
   Pluperfect tense,
   -
   Aorist tense."
ⲁ	(1a); imperat prfx of vbs; ⲗⲟ , ⲛⲁⲩ , ⲟⲩⲱⲙ , ⲟⲩⲱⲛ ; or ⲁⲗⲓⲟⲩⲓ , ⲁⲙⲟⲩ and derivatives, ⲁⲣⲓ , ⲁⲩ .
ⲁ– , ⲁⲩ–	"(1a); adv of indefinitness ""about"",
   often with ⲛ– (prfx.)"
ⲁ–	"(Gk); neg prfx ""without, un-""."
ⲁⲁϥ (v.)(2) ⲁϥ	Fly.
ⲁⲃ (v.) (2) ⲁϥ	Fly.
ⲁⲃⲁⲑⲣⲁ	"(Gk); (n.) Bridge, dam; (Lit.)
   'without base'."
ⲁⲃⲁⲕⲓⲥⲑⲉ	(Gk?); (n.) Wild gum.
ⲁⲃⲁⲛ (v.) ⲁⲟⲩⲁⲛ	Color.
ⲁⲃⲁϫⲏⲓⲛⲓ , –ϫⲓⲛⲓ , ⲃⲁϫⲓⲛⲓ , –ϫⲏⲓⲛⲓ , – ϫⲏⲛⲓ	"(3a); (mf.) Glass, an object of glass, a thing seen in glass;
   ⲥⲁⲛⲁⲃⲁϫⲏⲓⲛⲓ : (m.) Glass-blower or
   seller."
ⲁⲃⲃⲁ	"(Gk); (m.) Father; a title of respect given to elderly monks, abbot, or
   superior of a monastery."
ⲁⲃⲏⲛ (v.) ⲁⲟⲩⲁⲛ	Cargo.
ⲁⲃⲏⲧ (v.) ⲁⲃⲟⲧ	Months.
ⲁⲃⲓ ⲁⲃⲁⲛ (v.) ⲁⲟⲩⲁⲛ	A variety of colors.
ⲁⲃⲓⲛ (v.) ⲁⲟⲩⲁⲛ	Cargo.
ⲁⲃⲓⲧ	(2b); (n.) Monday.
ⲁⲃⲟⲕ (v.) ⲁⲃⲱⲕ	Crow.
ⲁⲃⲟⲕⲓ (v.) ⲁⲃⲱⲕ	She-crow / crows.
ⲁⲃⲟⲧ ,(pl.) ⲁⲃⲏⲧ , sg as (pl.)	(53b); (m.) Month.
ⲁⲃⲟⲩⲓ (v.)(1) ⲁϥ	Flesh.
ⲁⲃⲣⲁⲥⲓⲱⲛ	"(Gk?); (n.) The abundance of
   grass and plants."
ⲁⲃⲣⲉⲙ	(2b); (n.) Something cooked, baked, ripe.
ⲁⲃⲣⲓⲗⲗⲟⲥ	(Gk?); (n.) The month 'April'.
ⲁⲃⲥⲱⲛ , ⲁⲩⲥⲟⲛ	(2b); (m.) Wild mint.
ⲁⲃⲱ	"(2a); (f.) Dragnet, net.
   ⲁⲃⲱⲕ , ⲁⲃⲟⲕ (seldom), (f.) ⲁⲃⲟⲕⲓ , (pl.)"
ⲁⲃⲟⲕⲓ and sg as pl	"(2b); (m.) Crow.
   raven."
ⲁⲅⲁⲑⲁⲣⲧⲟⲥ = ⲁⲕⲁⲑⲁⲣⲧⲟⲥ	Unclean.
ⲁⲅⲁⲑⲏ (v.) ⲁⲅⲁⲑⲟⲥ	Good (f).
ⲁⲅⲁⲑⲟⲛ (v.) ⲁⲅⲁⲑⲟⲥ	Good.
ⲁⲅⲁⲑⲟⲥ , –ⲟⲛ , (f.) –ⲑⲏ	"(Gk); (adj.) good,
   righteous, noble."
ⲁⲅⲁⲗⲙⲁ	(Gk); Unknown.
ⲁⲅⲁⲡⲏ , –ⲏⲥ	"(Gk); (f.) Love, brotherly love,
   love of God, charity, alms, a love feast; ⲁⲅⲁⲡⲏⲧⲟⲥ : (adj.) beloved; ⲉⲣⲁⲅⲁⲡⲁⲛ : (vb.) To love."
ⲁⲅⲁⲡⲏⲥ (v.) ⲁⲅⲁⲡⲏ	Love.
ⲁⲅⲁⲡⲏⲧⲟⲥ (v.) ⲁⲅⲁⲡⲏ	Beloved.
ⲁⲅⲁⲣⲓⲑⲟⲛⲓⲕⲟⲛ	"(Gk); (n.) A kind of tree
   fungus."
ⲁⲅⲅⲉⲗⲓⲁ	(Gk); (f.) A message, tidings, news, word, speech.
ⲁⲅⲅⲉⲗⲓⲕⲉⲛⲟⲥ	(Gk?); (m.) English in origin.
ⲁⲅⲅⲉⲗⲟⲥ	"(Gk); (m.) Angel, messenger,
   envoy."
ⲁⲅⲅⲏⲛ	(Gk?); (n.) Pot, vessel.
ⲁⲅⲉ , (pl.) ⲁⲅⲉⲧⲉ	"(Gk); imperat of ⲁⲅⲱ⸗
   come!, come on!; (interj.) come now!"
ⲁⲅⲉⲗⲏ	(Gk); Unknown.
ⲁⲅⲉⲗⲓ , ⲁⲕⲉⲗⲓ	"(Gk); (f.) A herd of oxen,
   company."
ⲁⲅⲉⲧⲉ (v.) ⲁⲅⲉ	Come (pl)!
ⲁⲅⲓⲁ (v.) ⲁⲅⲓⲟⲥ	Holy.
