page	start	end
1	ⲁ	ⲁⲓⲁⲓ
2	ⲁⲉⲓⲟ	ⲁⲃⲓⲧ
3	ⲁⲃⲏϣ	ⲁⲗ
4	ⲁⲗ	ⲁⲓⲗⲉ
5	ⲁⲗⲟⲩ	ⲁⲗⲓⲕⲧ
6	ⲁⲗⲓⲗ	ⲁⲗϫⲁⲓ
7	ⲁⲗⲟϭ	ⲁⲙⲛⲁ
8	ⲁⲙⲟⲛⲓ	ⲁⲙⲣⲉ
9	ⲁⲙⲣⲉ	ⲁⲙⲁϩⲧⲉ
10	ⲁⲛ	ⲁⲛ
11	ⲁⲛ	ⲁⲛⲟⲕ
12	ⲁⲛⲕⲟⲕⲓ	ⲁⲛⲁⳉ
13	ⲁⲛⲁϩ	ⲁⲡⲉ
14	ⲁⲓⲡⲉ	ⲁⲣⲁ
15	ⲁⲣⲉ	ⲁⲣⲏⲩ
16	ⲁⲣⲏⲟⲩ	ⲁⲣⲏϫ
17	ⲁⲥ	ⲁⲥⲁⲓ
18	ⲁⲥⲉ	ⲁⲧ
19	ⲁⲧ	ⲁⲩⲱ
20	ⲁⲟⲩⲱ	ⲁⲩⲁⲛ
21	ⲁⲩⲉⲓⲛ	ⲁⲭⲱ
22	ⲁϣ	ⲁϣⲁⲓ
23	ⲁϣⲉ	ⲁϧⲱⲣⲓ
24	ⲁϩ	ⲁϩⲟⲙ
25	ⲁϩⲱⲙ	ⲁϫⲛ
26	ⲁϫⲛ	ⲁϭⲣⲏⲛ
27	ⲁϭⲟⲧⲉ	ⲃⲁ
28	ⲃⲁ	ⲃⲉⲉⲃⲉ
29	ⲃⲏⲃⲉ	ⲃⲱⲕ
30	ⲃⲱⲕ	ⲃⲉⲕⲉ
31	ⲃⲏⲕⲉ	ⲃⲁⲗ
32	ⲃⲓⲗ	ⲃⲱⲗ
33	ⲃⲱⲗ	ⲃⲱⲗ
34	ⲃⲱⲗ	ⲃⲱⲗ
35	ⲃⲱⲗ	ⲃⲱⲗ
36	ⲃⲱⲗ	ⲃⲱⲗ
37	ⲃⲗⲁ	ⲃⲱⲗⲕ
38	ⲃⲁⲗⲕⲟⲩ	ⲃⲗϫⲉ
39	ⲃⲟⲙ	ⲃⲱⲱⲛ
40	ⲃⲏⲛⲉ	ⲃⲛⲛⲉ
41	ⲃⲉⲛⲛⲏ	ⲃⲓⲣ
