page	start	end	notes
1	ⲁ	ⲁⲑ	
2	ⲁⲑⲁϩ	ⲁⲗⲁⲕ	
3	ⲁⲗⲁⲩ	ⲁⲗⲟϫ	
4	ⲁⲗⲱ	ⲁⲙⲉⲛϯ	
5	ⲁⲙⲉϣ	ⲁⲙⲟⲛⲓ	
6	ⲁⲙⲟⲛⲓ	ⲁⲛ	
7	ⲁⲛ	ⲁⲛⲥⲁϫⲓ	
8	ⲁⲛⲥⲉⲙⲓ	ⲁⲟⲩⲱ	
9	ⲁⲟⲩⲱⲛ	ⲁⲣⲉϣⲁⲛ	
10	ⲁⲣⲉϣⲧⲉⲙ	ⲁⲣⲏⲟⲩ	
11	ⲁⲣⲏϫ	ⲁⲥⲓⲁⲓ	
12	ⲁⲥⲁⲓ	ⲁⲧ	
13	ⲁⲧⲁⲣⲁϩ	ⲁⲩⲗⲏ	
14	ⲁⲩⲛⲁⲛ	ⲁϣ	
15	ⲁϣ	ⲁϥϫⲓⲣ	
16	ⲁϧ	ⲁϩⲟ	
17	ⲁϩⲟⲙ	ⲁϭⲣⲏⲛ	
18	ⲃ	ⲃⲁⲕϣⲁⲣ	
19	ⲃⲁⲕϣⲁⲣ	ⲃⲁϣⲟⲩⲣ	
20	ⲃⲁϣⲟⲩϣ	ⲃⲉⲛⲓⲡⲓ	
21	ⲃⲉⲛⲛⲏ	ⲃⲉⲣⲧ	
22	ⲃⲉⲣⲱ	ⲃⲏⲧ	
23	ⲃⲏⲧ	ⲃⲟⲗ	
24	ⲃⲟⲗⲃⲉⲗ	ⲃⲟⲣⲃⲉⲣ	
25	ⲃⲟⲥⲉⲣ	ⲃⲱⲕ	
26	ⲃⲱⲕ	ⲃⲱⲗ	
27	ⲃⲱⲗ	ⲃⲱⲧⲥ	
28	ⲃⲱⲱⲃⲉ	ⲃⲱϯ	
29	ⲅ	ⲇⲓⲡⲛⲟⲛ	
30	ⲉ	ⲉ	
31	ⲉ	ⲉⲃⲓⲱ	
32	ⲉⲃⲟ	ⲉⲃⲟⲗϩⲓ	
33	ⲉⲃⲟⲗϩⲓⲧⲉⲛ	ⲉⲑⲃⲉ	
34	ⲉⲑⲓⲟⲡⲏ	ⲉⲕⲱⲧ	
35	ⲉⲗ	ⲉⲙⲓ	
36	ⲉⲙⲏϣ	ⲉⲙϩⲓⲧ	
37	ⲉⲙϫ	ⲉⲛⲕⲟⲧ	
