key	front	back	timestamp
copticsite.com - 1	ⲁ , ⲁ (ⲁⲗⲫⲁ)	(<b>حرف</b>)<br/>الحرف الأول من الأبجدية القبطية	1722579616
copticsite.com - 2	ⲟⲩⲁⲓ (num.)	(<b>رقم</b>)<br/>واحد	1722579616
copticsite.com - 3	ⲁ (num.)	(<b>رقم</b>)<br/>واحد	1722579616
copticsite.com - 4	ⲁ	(<b>prefix بادئة</b>)<br/>علامة زمن الماضي توضع قبل الضمير أو الاسم	1722579616
copticsite.com - 5	ⲁ	(<b>prefix بادئة</b>)<br/>بادئة تعطي معنى الأمر	1722579616
copticsite.com - 6	ⲁⲛⲁⲩ (imp.)	(<b>فعل - أمر</b>)<br/>أنظر	1722579616
copticsite.com - 7	ⲁ	(<b>prefix بادئة</b>)<br/>بادئة زائدة ببعض الكلمات	1722579616
copticsite.com - 8	ⲁⲟⲩⲱⲛ (v.)	(<b>فعل</b>)<br/>يفتح	1722579616
copticsite.com - 9	ⲁ	(<b>prefix بادئة</b>)<br/>بادئة تفيد عكس المعنى أو النفي	1722579616
copticsite.com - 10	ⲁⲑⲁⲛⲁⲧⲟⲥ (adj.)	(<b>صفة - يوناني</b>)<br/>غير مائت	1722579616
copticsite.com - 11	ⲁⲁⲩⲧⲏⲥ (ⲡ)	(<b>اسم - مذكر</b>)<br/>النيل<br/>نهر النيل	1722579616
copticsite.com - 12	ⲁⲃⲁⲑⲣⲁ (ⲧ)	(<b>اسم - مؤنث - يوناني</b>)<br/>جسر<br/>كوبري<br/>قنطرة	1722579616
copticsite.com - 13	ⲁⲟⲩⲁⲛ (ⲡ)	(<b>اسم - مذكر</b>)<br/>لون	1722579616
copticsite.com - 14	ⲁⲃⲁⲛ (ⲡ)	(<b>اسم - مذكر</b>)<br/>لون	1722579616
copticsite.com - 15	ⲁⲃⲁⲧⲟⲥ (adj.)	(<b>صفة - يوناني</b>)<br/>عديم الخضرة<br/>غير مسلوك<br/>متعذر اجتيازه<br/>غير مسموح بالدوس عليه أو بركوبه	1722579616
copticsite.com - 16	ⲁⲃⲁϩ	(<b>أداة</b>)<br/>لفظ يدل على الدهشة أو الاستغراب	1722579616
copticsite.com - 17	ⲁⲃⲁϫⲏⲓⲛⲓ (ⲡ/ⲧ)	(<b>اسم - مذكر ، مؤنث</b>)<br/>زجاج<br/>بلور	1722579616
copticsite.com - 18	ⲁⲃⲁϫⲓⲛⲓ (ⲡ/ⲧ)	(<b>اسم - مذكر ، مؤنث</b>)<br/>زجاج<br/>بلور	1722579616
copticsite.com - 19	ⲁⲡⲁ	(<b>اسم - يوناني ، عبري</b>)<br/>أبا<br/>أنبا<br/>لقب للقديسن والأساقفة	1722579616
copticsite.com - 20	ⲁⲃⲃⲁ	(<b>اسم - يوناني ، عبري</b>)<br/>أبا<br/>أنبا<br/>لقب للقديسن والأساقفة	1722579616
copticsite.com - 21	ⲁⲃⲃⲁⲕⲟⲩⲙ	(<b>اسم - يوناني ، عبري</b>)<br/>حبقوق<br/>نبوة حبقوق<br/>كلمة عبرية معناها عناق أو احتضان	1722579616
copticsite.com - 22	ⲁⲃⲇⲓⲟⲩ	(<b>اسم - يوناني ، عبري</b>)<br/>عوبيديا<br/>أحد الأنبياء الصغار<br/>كلمة عبرية معناها عابد الله	1722579616
copticsite.com - 23	ⲁⲃⲓⲛ (ⲡ)	(<b>اسم - مذكر</b>)<br/>حمل<br/>حمولة<br/>شحنة	1722579616
copticsite.com - 24	ⲁⲃⲏⲛ (ⲡ)	(<b>اسم - مذكر</b>)<br/>حمل<br/>حمولة<br/>شحنة	1722579616
copticsite.com - 25	ⲟⲩⲏⲣ	(<b>أداة استفهام</b>)<br/>كم ، للسؤال عن العدد	1722579616
copticsite.com - 26	ⲁⲟⲩⲏⲣ	(<b>أداة استفهام</b>)<br/>كم ، للسؤال عن العدد	1722579616
copticsite.com - 27	ⲁⲃⲏⲣ	(<b>أداة استفهام</b>)<br/>كم ، للسؤال عن العدد	1722579616
copticsite.com - 28	ⲁⲃⲏⲧ (ⲛ)	(<b>اسم - جمع</b>)<br/>شهور<br/>أهلة	1722579616
