key	word	type	cz	en	gr	crum	quality	pos	added	updated	created_by	updated_by
1	"(S) ouoein (A,sA) oua$^e^$ine (Sa,sA,F) ouaein (B) ouwini (O) ouoin (NH) ouoeine *^<a href="ext codex XIII - Trimorphic Protennoia;158;36;32;ouoeine pe eFSoop Hn ouoeine;codex II - The Apocryphon of John;106;4;9;eFT mpouoeine natSitF">Ext</a>^*"	1	"světlo /$gk: [[fws, fwtismos]]$/ | úsvit /$gk: [[anatolh, orqros]]$/  | světlo (očí) | (as adj) /$gk: [[fwteinos]]$/"	"light /$gk: [[fws, fwtismos]]$/ | dawn /$gk: [[anatolh, orqros]]$/  | light (of eyes) | (as adj) /$gk: [[fwteinos]]$/"	"fws, fwtismos, anatolh, orqros, fwteinos"	"480a"	9	0	"2009-09-14"	"2010-09-29"	"vagrant"	"vagrant"
2	"(S,A,sA,B,F) T (S,F) ti (S) Ti,Tei,tei,tn (A) te (S,B,F) T- (A,F) te- (F) ta- (S) ta$^a^$=,T= (A,sA,F) tee= (A,sA) teet= (A) te= (sA,F) teeit= (B) thi=,thit= (F) tei=,teiei=,teit=,tait= *^and other irregular S,Sa,F forms^* (S) to+,tw+ (Sf) ta+ (A) teie+,te+ (sA) toeie+ (B) toi+ (F) ta$^a^$i+,taaie+ (S,sA,F) ^tai- (S,A,sA) **ma (B) **moi (F) **mai (S,B,F) **ma- (S) **mat=,mhei= (B) **mhi=,mhit=,moit= (F) **mai= (NH) **ma= *^<a href="ext codex II - The Gospel of Thomas;107;49;31;pete pwei pe matnnaeiF">Ext</a>^*"	2	"{intr:} |$ give, pay (& related meanings) /$gk: [[didonai]]$/ |$ fight | {tr:} |$ (mostly c dat) |$ pay |$ sell (S) |$ smite /$gk: [[tuptein]]$/ | (imperative) |$ (with [T]) |$ (not as imperative B) |$ [Jinm.] | {qual:} given, being upon | (p c), giver"	"{intr:} |$ give, pay (& related meanings) /$gk: [[didonai]]$/ |$ fight | {tr:} |$ (mostly c dat) |$ pay |$ sell (S) |$ smite /$gk: [[tuptein]]$/ | (imperative) |$ (with [T]) |$ (not as imperative B) |$ [Jinm.] | {qual:} given, being upon | (p c), giver"	"didonai, tuptein"	"392a"	7	0	"2009-09-14"	"2011-01-09"	"vagrant"	"vagrant"
3	"(S) na,naa (S,A,sA) nae (S,B) nai (S) naeih (F) nei,neei (S,A,B,F) ^na- *^[naHht, naht]^*"	2	"{intr:} have pity, mercy /$gk: [[eleein]]$/"	"{intr:} have pity, mercy /$gk: [[eleein]]$/"	"eleein"	"216b"	8	0	"2009-09-14"	"2010-06-20"	"vagrant"	"vagrant"
4	"(S,A) swte (A) swt (Sf,B,F) swT (S,B) set- (S) sot- (S,A) swt- (S,B) sot= (S) soot= (S,A,F) sat= (S,A) saat="	2	"{intr /*rare*/:} redeem, rescue /$gk: [[lutrousqai, ejaireisqai]]$/ | {tr:} /$gk: [[lutrousqai, ruesqai, ejaireisqai, ekpriasqai]]$/"	"{intr /*rare*/:} redeem, rescue /$gk: [[lutrousqai, ejaireisqai]]$/ | {tr:} /$gk: [[lutrousqai, ruesqai, ejaireisqai, ekpriasqai]]$/"	"lutrousqai, ejaireisqai, ruesqai, ekpriasqai"	"362a"	8	0	"2009-09-14"	"2014-09-12"	"vagrant"	"vagrant"
5	"(S,A,sA,F) ei (sA,B,F) i (S) **amou"	2	"{intr:} come, go /$gk: [[erxesqai, hkein]]$/ | (as auxil. or subsidiary), be about to"	"{intr:} come, go /$gk: [[erxesqai, hkein]]$/ | (as auxil. or subsidiary), be about to"	"erxesqai, hkein"	"70a"	8	0	"2009-09-14"	"2010-06-02"	"vagrant"	"vagrant"
6	"(S,sA) Jpo *^for [tSpo]^* (A) tQpo (B) Jfo (F) Jpa (S,A,F) Jpe- (A) tQpe-,tQpo- (S,sA) Jpo- (sA,F) Jpa- (F) Spa- (B) Jfe-,tHfe- (S) Jpo= (A) tQpa= (sA,F) Jpa= (B) Jfo= (S) Jpaeit+ (B) Jfhout+"	2	"{tr:} |$ beget, bring forth (of male or female) (/*causative of [Swpe]*/) /$gk: [[gennan, tekein]]$/ |$ acquire /$gk: [[ktasqai, poiein]]$/"	"{tr:} |$ beget, bring forth (of male or female) (/*causative of [Swpe]*/) /$gk: [[gennan, tekein]]$/ |$ acquire /$gk: [[ktasqai, poiein]]$/"	"gennan, tekein, ktasqai, poiein"	"778b"	8	0	"2009-09-14"	"2010-08-15"	"vagrant"	"vagrant"
7	"(S,B) aHo (S) aHou (A) eHo (F) aHa (B) aHor (S) *aHwwr (A) *eHwr (B) *aHwr (F) *aHwwr"	1	"treasure /$gk: [[qhsauros]]$/ | treasury, store house"	"treasure /$gk: [[qhsauros]]$/ | treasury, store house"	"qhsauros"	"24b"	6	0	"2009-09-14"	"2010-01-23"	"vagrant"	"vagrant"
8	"(S,B,F) ouwn (S,Sa,sA) ouhn (A,sA) ouen (A) eouen (S,B,F) a$^o^$uwn (S) oun- (A) aoun- (S,B,F) ouhn+ (sA) ouen+ (O) ^ouan- (S,B,F,O) **aouwn (S) **oun- (A) **euen,aoun-"	2	"{intr:} open, be open /$gk: [[anoigein, dianoigein, rhgnunai]]$/ | {tr:} /$gk: [[anoigein, dianoigein, xainein]]$/ | (p c O)"	"{intr:} open, be open /$gk: [[anoigein, dianoigein, rhgnunai]]$/ | {tr:} /$gk: [[anoigein, dianoigein, xainein]]$/ | (p c O)"	"anoigein, rhgnunai, dianoigein, xainein"	"482b"	8	0	"2009-09-14"	"2010-08-05"	"vagrant"	"vagrant"
9	"(S,A,sA,B,F) Swp (S,A,sA,B) Sp- (S,B) Sep- (S,F) Sap- (S,sA) Swp- (S,B) Sop= (Sa,A,sA,F) Sap= (S,A,B,F) Shp+ (sA,B) ^Sap-"	2	"{intr:} |$ receive, contain, take, suffer /$gk: [[analambanein, xwrein, pasxein, dexesqai]]$/ |$ buy /$gk: [[agorazein, ktasqai]]$/ | {qual:} acceptable /$gk: [[dektos]]$/ | (p c sA,B), receiver"	"{intr:} |$ receive, contain, take, suffer /$gk: [[analambanein, xwrein, pasxein, dexesqai]]$/ |$ buy /$gk: [[agorazein, ktasqai]]$/ | {qual:} acceptable /$gk: [[dektos]]$/ | (p c sA,B), receiver"	"analambanein, xwrein, pasxein, dexesqai, agorazein, ktasqai, dektos"	"574b"	8	0	"2009-09-14"	"2010-08-10"	"vagrant"	"vagrant"
10	"(S,sA,B,F) S- (S,F) eS- (Sa) H- (A) Q-"	2	"(impers vb, lit) know, (so) be able, permitted /$gk: [[dunasqai, isxuein]]$/ |$ (with pronom subj) |$$ (c neg pref often = adj in [[a―tos]]), unable to |$$ (sim with [at-] B) |$ (with nom subj)"	"(impers vb, lit) know, (so) be able, permitted /$gk: [[dunasqai, isxuein]]$/ |$ (with pronom subj) |$$ (c neg pref often = adj in [[a―tos]]), unable to |$$ (sim with [at-] B) |$ (with nom subj)"	"dunasqai, isxuein"	"541a"	6	0	"2009-09-14"	"2012-04-02"	"vagrant"	"vagrant"
